user_id,vehicle_model,battery_capacity,charging_station,charging_station_location,start_time,end_time,energy_consumed,charging_duration,charging_rate,charging_cost,time_of_day,day_of_week,state_of_charge_start,state_of_charge_end,distance_driven,temperature,vehicle_age,charger_type,user_type
user_1,BMW i3,108.4630074,station_391,houston,1/1/24 0:00,1/1/24 0:39,60.71234573,0.591363425,36.38918057,13.08771679,evening,tuesday,29.37157598,86.11996244,293.6021106,27.94795306,2,dc fast charger,commuter
user_2,Hyundai Kona,100,station_428,san francisco,1/1/24 1:00,1/1/24 3:01,12.3392752,3.133652053,30.67773494,21.12844793,morning,monday,10.11577764,84.66434363,112.1128037,14.31102566,3,level 1,casual driver
user_3,Chevy Bolt,75,station_181,san francisco,1/1/24 2:00,1/1/24 4:48,19.1288757,2.452652726,27.51359256,35.66727042,morning,thursday,6.854604444,69.91761524,71.79925293,21.00200184,2,level 2,commuter
user_4,Hyundai Kona,50,station_327,houston,1/1/24 3:00,1/1/24 6:42,79.45782399,1.266430805,32.88286976,13.03623883,evening,Saturday,83.12000296,99.62432763,199.5777845,38.31631316,1,level 1,long-distance traveler
user_5,Hyundai Kona,50,station_108,los angeles,1/1/24 4:00,1/1/24 5:46,19.62910417,2.019765087,10.21571207,10.16147117,morning,saturday,54.25894969,63.74378604,203.6618466,-7.834199027,1,level 1,long-distance traveler
user_6,Nissan Leaf,50,station_335,san francisco,1/1/24 5:00,1/1/24 7:10,43.18113714,1.167640154,14.33452278,36.90034078,evening,saturday,75.21774834,71.98228757,143.6800461,-5.274217797,0,dc fast charger,long-distance traveler
user_7,Chevy Bolt,85,station_162,houston,1/1/24 6:00,1/1/24 7:53,36.86213999,3.539619026,26.18518786,22.21422518,evening,friday,60.75178076,70.7960969,81.33800891,27.55133468,4,level 2,commuter
user_8,Chevy Bolt,75,station_302,los angeles,1/1/24 7:00,1/1/24 10:42,51.46761686,2.655396446,26.70290777,9.796821321,afternoon,monday,56.20170303,63.78681533,116.5431658,-4.417459666,0,level 2,long-distance traveler
user_9,Chevy Bolt,62,station_493,los angeles,1/1/24 8:00,1/1/24 9:21,43.59237228,1.724203599,14.29492293,32.46500507,evening,wednesday,33.46620026,92.9614209,208.2597425,22.51670643,4,level 1,commuter
user_10,Hyundai Kona,50,station_452,chicago,1/1/24 9:00,1/1/24 12:44,78.86860745,2.026874691,11.76099972,21.31230245,morning,wednesday,27.39945463,70.05338138,54.0063092,27.51201936,3,dc fast charger,commuter
user_11,BMW i3,50,station_206,los angeles,1/1/24 10:00,1/1/24 13:59,18.20619748,2.648635448,10.31070111,38.2212307,night,thursday,76.08656557,82.26558163,64.63464375,0.500433564,3,dc fast charger,casual driver
user_12,Chevy Bolt,85,station_78,san francisco,1/1/24 11:00,1/1/24 14:55,22.56492948,2.057888622,4.464822629,14.05086135,evening,sunday,14.61890237,85.85749415,194.7638067,34.26261127,0,dc fast charger,long-distance traveler
user_13,Hyundai Kona,100,station_16,san francisco,1/1/24 12:00,1/1/24 13:00,34.25645291,3.065584752,5.523688619,10.972136,afternoon,monday,19.20544695,51.62648273,249.1275965,23.66296536,0,level 2,casual driver
user_14,Nissan Leaf,75,station_327,houston,1/1/24 13:00,1/1/24 15:54,16.56106433,3.590965718,19.76909872,37.4418566,morning,friday,25.77541539,69.2012291,159.2316102,34.11034864,7,level 2,commuter
